Year,loc_ID,x,y,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_2_1,e_2_2,e_2_3,e_2_4,e_2_5,e_2_6,e_2_7,e_2_8,e_3_1,e_3_2,e_3_3,e_3_4,e_3_5,e_3_6,e_3_7,e_3_8,e_4_1,e_4_2,e_4_3,e_4_4,e_4_5,e_4_6,e_4_7,e_4_8,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,rs_1_1,rs_1_2,rs_1_3,rs_1_4,rs_1_5,rs_1_6,rs_1_7,rs_1_8,rs_2_1,rs_2_2,rs_2_3,rs_2_4,rs_2_5,rs_2_6,rs_2_7,rs_2_8,rs_3_1,rs_3_2,rs_3_3,rs_3_4,rs_3_5,rs_3_6,rs_3_7,rs_3_8,rs_4_1,rs_4_2,rs_4_3,rs_4_4,rs_4_5,rs_4_6,rs_4_7,rs_4_8,rs_5_1,rs_5_2,rs_5_3,rs_5_4,rs_5_5,rs_5_6,rs_5_7,rs_5_8,yield
2013,1,-84.93705398,40.74562106,68.3,29.9,16.1,0,0,13.4,76.3,103.9,84.8,19.9,77.5,81.4,48.1,54.8,151.2,76.3,16.04,9.83,5.93,2.17,1.33,4.79,15.41,23.57,5.39,-1.31,-0.9,-6.5,-6.82,-3.71,3.41,11.58,45.7,34.7,65.4,65.4,65.4,65.4,65.4,34,292.255,298.295,302.235,301.93,301.18,299.425,297.595,298.9878572,276.915,282.59,291.225,291.365,291.705,287.825,299.425,288.7214286,0.094625,0.091,0.106075,0.039425,0.038725,0.0824,0.097233333,0.078497619,0.206425,0.228425,0.268325,0.4563,0.476025,0.283025,0.234391667,0.405116667,0.195725,0.1845,0.267125,0.09575,0.0812,0.150275,0.215783333,0.109075,65.5
2014,1,-84.93705398,40.74562106,62.1,39.1,0.9,0,0,6.4,92.4,113.1,115.4,46.2,90.4,62.7,73.8,52.1,117.5,103.4,17.87,7.83,2.14,-2.79,-2.37,5.49,16.54,22.78,6.12,-0.83,-5.56,-13,-11.8,-5.9,3.86,10.44,59.3,64.1,65.4,65.4,65.4,65.4,65.4,50.6,297.18,301.63,300.52,299.715,299.75,295.33,299.7766666,299.1288096,275.175,285.105,290.625,289.125,290.28,285.235,295.33,287.2678572,0.13055,0.173875,0.076125,0.03655,0.03185,0.067025,0.12685,0.091832143,0.22585,0.3463,0.415525,0.462575,0.4297,0.1813,0.329225,0.357858333,0.28925,0.406525,0.178775,0.05345,0.069225,0.115025,0.291516667,0.079233333,81.4
2015,1,-84.93705398,40.74562106,63.5,27.1,7,0,0,29.6,82.8,107.5,70.2,61.1,54.1,51.6,36.6,67.3,100.6,96.2,16.8,6.29,3.83,-0.92,-4.13,7.04,16.58,24.18,5.95,-2.57,-2.48,-9.44,-14.26,-3.66,4.16,12.08,18,44.7,65.4,65.4,65.4,65.4,65.4,49.3,295.915,296.81,301.095,300.555,300.765,299.5,297.94,298.94,278.6,280.785,290.645,293.81,291.255,286.125,299.5,288.6742858,0.122775,0.09785,0.0497,0.04495,0.0447,0.145875,0.090108333,0.085136905,0.221925,0.2204,0.355075,0.463825,0.412825,0.297175,0.2658,0.391275,0.27895,0.238425,0.114225,0.07435,0.09955,0.225,0.210533333,0.132966667,52.4
2016,1,-84.93705398,40.74562106,61.4,48.4,25.4,0,2.2,49.8,87,98.2,59.7,59.8,108.9,33.4,62.1,119.9,95.1,74.3,18.18,13.06,9.03,1.1,3.9,12.2,15.7,21.6,6.43,2.31,1.46,-7.8,-5.5,2,3.5,9.7,14.1,22.5,65.4,65.4,65.4,65.4,65.4,37.7,297.655,298.575,304.69,299.47,299.105,300.17,300.3066666,299.9959524,278.105,284.595,292.855,294.03,291.58,289.47,300.17,290.115,0.107625,0.121525,0.08305,0.03665,0.0357,0.11355,0.104066667,0.08602381,0.1943,0.2305,0.4123,0.5127,0.43775,0.2856,0.279033333,0.412016667,0.308925,0.31315,0.2061,0.081775,0.068825,0.198625,0.276058333,0.116408333,86.1
2017,1,-84.93705398,40.74562106,67.3,41.7,0,2,29.8,47.6,90,116.3,69.1,49.9,66.8,87.8,51.3,111.2,116.4,127.6,20,13.1,1.1,3.6,9.2,8.8,19.1,20.9,8.7,2.2,-5.6,-3.5,-1.8,-0.9,6.9,9.9,21.3,27,27,64.8,65.4,65.4,65.4,65.4,289.505,298.905,303.75,301.805,297.965,300.785,297.3866666,298.5859524,277.23,285.1,291.2,293.475,288.92,287.39,300.785,289.1571428,0.1337,0.155625,0.15175,0.036625,0.035525,0.08525,0.147025,0.1065,0.2229,0.28635,0.3796,0.466425,0.448225,0.300825,0.296283333,0.405158333,0.224825,0.393125,0.350525,0.098725,0.0736,0.142325,0.322825,0.104883333,74
2018,1,-84.93705398,40.74562106,64.1,38.5,0,0,3.2,36,73.2,113.6,86.9,119.1,37.6,42.5,122.9,77.6,103.8,107.5,19.1,9.8,1.6,-0.1,5.2,6.6,12.1,26.4,7.9,0.6,-6.7,-8.8,-4.6,-3,0.6,14,34.4,65.4,65.4,65.4,65.4,65.4,65.4,54.4,291.795,305.175,306.24,302.105,301.265,301.395,301.07,301.2921428,275.415,289.715,292.34,292.13,292.99,289.085,301.395,290.4385714,0.126475,0.1249,0.049575,0.028125,0.05955,0.122925,0.100316667,0.087409524,0.21455,0.265375,0.41545,0.42565,0.40355,0.236775,0.298458333,0.355325,0.24735,0.31615,0.119925,0.070975,0.100975,0.207,0.227808333,0.126316667,80.2
2019,1,-84.93705398,40.74562106,60,26.5,13.6,0,2.4,38.5,76.8,95.1,74.1,106.6,89.4,65.1,69,78.1,145.7,132.5,17.6,5.6,5.4,0.4,4.2,7.3,16.7,23.2,6.6,-0.8,-2.5,-8.2,-5.2,-3.3,4.4,10.5,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,294.25,293.145,304.685,304.48,299.395,298.855,297.36,298.8814286,278.55,287.57,290.225,293.42,291.445,289.445,298.855,289.93,0.104975,0.08785,0.1535,0.105,0.037725,0.04095,0.115441667,0.092205952,0.25685,0.27355,0.300575,0.356075,0.44895,0.404825,0.276991667,0.403283333,0.221925,0.135875,0.31515,0.221125,0.099725,0.092925,0.224316667,0.137925,46.3
2020,1,-84.93705398,40.74562106,81.4,32.8,24.1,10.5,1.5,58.2,64,104,88.6,37.7,66.7,100.3,70.3,92.6,43.8,104.9,19.6,7.2,6.5,4.7,3.3,11.3,14.8,21.6,7,-2.2,-1.6,-3.6,-5.8,0.6,2.6,9.2,20.9,23.3,61.8,65.4,65.4,65.4,44.2,39.9,292.64,292.4,306.575,302.05,300.875,296.76,297.205,298.3578572,277.77,282.21,291.58,294.135,290.56,284.82,296.76,288.2621428,0.111975,0.125325,0.129975,0.0246,0.02935,0.124175,0.122425,0.095403571,0.212525,0.223575,0.29275,0.4532,0.45725,0.3322,0.24295,0.414216667,0.24075,0.243925,0.36905,0.071825,0.065,0.136775,0.284575,0.0912,70.7
2021,1,-84.93705398,40.74562106,66.6,55.1,12.6,1,0,66.7,79.9,109.3,69.7,79.3,31.4,48.1,47.3,54.7,63.4,105.7,17.7,12.8,4.7,2.8,-2,12.3,16.7,21.5,5.3,3.2,-3.1,-5.5,-11.1,1.6,4.5,9.1,9.8,30,35.9,39.9,39.9,65.4,45.7,36.8,294.28,298.91,304.47,300.595,300.195,298.78,299.22,299.4928572,278.61,278.33,292.145,292.525,292.815,287.915,298.78,288.7314286,0.138825,0.12,0.129475,0.0382,0.0288,0.112175,0.129433333,0.099558333,0.261875,0.2997,0.326025,0.37245,0.542825,0.41325,0.295866667,0.442841667,0.25455,0.258375,0.219825,0.107025,0.0786,0.130325,0.24425,0.105316667,87.5
2003,2,-85.06681132,41.09099018,43.3,31.8,1.1,0,0,37,78,91.4,44.1,59.1,50.3,26.6,38.7,53.9,61.9,165.1,15.39,7.58,2.14,-3.07,-0.9,8.87,15.99,19.81,4.51,-0.34,-5.2,-11.16,-9.85,-3.01,3.26,8.61,8.2,32.5,35.5,35.5,35.5,59.6,49.4,59.6,294.975,293.885,298.915,299.975,299.18,295.64,295.925,296.9278572,283.17,287.49,291.43,294.865,293.315,287.04,295.64,290.4214286,0.060875,0.03495,0.0271,0.044825,0.038525,0.0279,0.040975,0.039307143,0.24685,0.4182,0.350625,0.37725,0.36015,0.290275,0.338558333,0.342558333,0.111675,0.0739,0.06495,0.078625,0.065,0.06015,0.083508333,0.067925,78.6
2004,2,-85.06681132,41.09099018,61.2,33.9,4.1,0,0,38.2,59.7,105.8,56,77.9,67.9,55.6,14,67.5,21.4,147.1,17.04,11.49,3.28,-2.26,2.11,9.5,17.09,23.13,4.14,2.12,-3.51,-10.71,-7.44,0.47,4.14,11.03,51.6,59.6,59.6,59.6,59.6,59.6,21.9,55.8,295.02,298.195,297.88,298.67,297.425,297.315,297.0316666,297.362381,281.2,291.145,292,293.9,291.065,288.45,297.315,290.725,0.07345,0.031725,0.031525,0.0277,0.02305,0.031525,0.045566667,0.037791667,0.27105,0.399825,0.374475,0.386125,0.335175,0.281075,0.34845,0.334125,0.13735,0.0692,0.06385,0.061825,0.0494,0.067125,0.090133333,0.05945,68.3
2005,2,-85.06681132,41.09099018,57.2,32.6,0.7,0,1.2,14.8,98.2,81.9,55.7,99.7,66.3,116,63.5,37,55.1,46.5,17.35,10.38,2.6,-0.19,3.13,5.73,17.33,20.32,5.51,1.74,-5.85,-8.39,-5.25,-4.41,4.13,7.24,16.9,59.6,59.6,59.6,59.6,59.6,59.6,21.9,292.855,295.72,302.06,301.4,300.755,298.99,296.8783334,298.379762,283.61,287.465,294.185,294.265,294.385,291.535,298.99,292.0621428,0.070425,0.033,0.035325,0.03825,0.02725,0.03335,0.04625,0.04055,0.27395,0.38515,0.359375,0.430425,0.366525,0.29175,0.339491667,0.3629,0.132875,0.0635,0.075425,0.08585,0.056525,0.065325,0.0906,0.069233333,74.7
2006,2,-85.06681132,41.09099018,21.7,46.9,0,15.5,1.2,40.9,92.2,110.3,21.7,90.8,63.1,75.7,41.1,65.6,82.5,133.2,17.81,11.23,-0.85,5.73,2.87,8.09,18.1,20.98,6.38,0.41,-6.92,-1.68,-6.45,-1.91,4.65,9.33,7.2,46.5,46.5,59.6,59.6,59.6,49.7,59.6,297.16,295.105,301.815,301.05,300.18,296.38,298.0266666,298.5309524,285.005,288.705,293.62,294.3,292.845,287.735,296.38,291.2271428,0.06645,0.03575,0.036625,0.02165,0.0257,0.023825,0.046275,0.036610714,0.301475,0.3918,0.39485,0.3773,0.3235,0.2927,0.362708333,0.331166667,0.1334,0.068825,0.08,0.052725,0.0515,0.047025,0.094075,0.050416667,75.8
2007,2,-85.06681132,41.09099018,62.9,33.7,24.5,0.6,0,45.8,87.2,75.1,111,61.8,107.4,104.5,34.3,81.8,91.1,39.3,15.26,10.48,6.42,1.93,-3.76,11.28,14.45,24.98,3.68,1.3,-1.55,-5.37,-12.76,0.29,2.81,10.72,52.9,59.6,59.6,59.6,59.6,59.6,59.6,21.9,294.235,298.83,300.535,300.705,303.62,300.155,297.8666666,299.4209524,284.82,285.825,292.47,294.47,296.02,290.125,300.155,291.9835714,0.062875,0.082675,0.02845,0.0308,0.0227,0.04025,0.058,0.046535714,0.28325,0.372075,0.39095,0.37175,0.298025,0.2741,0.348758333,0.314625,0.119025,0.13205,0.0631,0.06745,0.048125,0.079925,0.104725,0.065166667,59.3
2008,2,-85.06681132,41.09099018,65.3,42.8,1.5,0,0,24.8,93.2,115,61.1,89.3,107.1,69.7,118.2,90.1,61.1,103.4,21.13,9.36,2.24,1.25,0.3,5.92,17.17,20.24,9.13,-0.16,-4.32,-7.95,-8.51,-3.05,4.04,7.65,18.3,59.6,59.6,59.6,59.6,59.6,59.6,42.8,293.75,295.505,300.35,298.315,299.13,296.425,296.535,297.1442858,282.275,285.955,293.63,294.43,292.45,288.22,296.425,290.4835714,0.0679,0.0448,0.04415,0.0612,0.0241,0.028525,0.052283333,0.046136905,0.2193,0.38575,0.463975,0.411175,0.3801,0.32915,0.356341667,0.373475,0.13205,0.081,0.0899,0.09005,0.05425,0.0601,0.100983333,0.068133333,68.5
2009,2,-85.06681132,41.09099018,50.5,36.1,0,0,0.8,56.9,83.2,108.9,51.2,45.6,118.2,32.4,77,124.1,130,85.2,17.49,8.3,2.09,-3.58,3.31,10.91,15.46,22.12,4.22,-0.72,-7.06,-13.43,-6.81,-1.66,3.84,9.19,9.1,16.3,16.3,16.3,26.6,59.6,59.6,31.7,293.005,294.155,299.18,299.39,298.825,295.71,295.4466666,296.530238,282.16,284.13,294.46,292.59,292.32,286.73,295.71,289.7285714,0.08085,0.1476,0.058525,0.0305,0.0278,0.060575,0.095658333,0.071644048,0.2207,0.397275,0.373275,0.455675,0.344975,0.310575,0.330416667,0.370408333,0.13225,0.123125,0.096,0.0806,0.059975,0.078925,0.117125,0.073166667,70.5
2010,2,-85.06681132,41.09099018,60.5,34.9,1.1,0,0,51,96,115.5,127.2,31.2,74.5,22.9,36.2,64.1,75.3,158.8,14.78,12.1,1.66,-1.44,-0.21,11.24,19.72,23.13,4.49,2.24,-5.11,-8.43,-7.19,-0.28,6,11.62,59.6,54.4,58.7,58.7,58.7,59.6,36.7,59.6,295.905,293.785,301.43,301.675,300.28,297.815,297.04,298.2757142,284.805,290.215,294.785,296.78,294.43,288.955,297.815,292.5407142,0.0526,0.0723,0.025375,0.02985,0.026375,0.027825,0.050091667,0.040630952,0.297225,0.375625,0.394725,0.37355,0.3397,0.286575,0.355858333,0.333275,0.0927,0.106175,0.0573,0.0644,0.0596,0.0522,0.085391667,0.058733333,59.2
2011,2,-85.06681132,41.09099018,24.6,45,0,0,0,41.8,73.4,96.1,23.6,103.5,27.4,36.9,84.7,81.3,152.1,142.1,19.49,11.59,-0.88,-2.42,1.3,7.73,15.39,21.87,5.78,-0.7,-7.27,-10.07,-7.62,-2.2,4.22,11,9.7,59.6,59.6,59.6,59.6,59.6,59.6,59.6,292.98,296.675,302.015,302.31,299.77,295.215,297.2233334,298.0269048,283.565,288.66,295.775,297.695,294.98,287.805,295.215,291.9564286,0.051025,0.04035,0.032425,0.0426,0.02925,0.049525,0.041266667,0.040920238,0.254425,0.366625,0.389525,0.372375,0.367225,0.321575,0.336858333,0.353725,0.09515,0.0706,0.0646,0.0741,0.06295,0.08735,0.076783333,0.0748,69.2
2012,2,-85.06681132,41.09099018,73.5,46.7,19,1,8,65.9,81.8,56.5,80.3,137.2,94.7,67,41.5,76.4,51.4,49.4,18.08,12.28,5.23,3.05,4.8,15.52,16.64,25.68,5.43,2.73,-1.48,-5.71,-3.83,3.75,3.41,11.96,46.7,59.6,59.6,59.6,59.6,59.6,26.6,17,293.085,299.425,301.655,303.425,303.15,295.15,298.055,299.135,286.085,291.485,293.055,296.86,293.51,287.945,295.15,292.0128572,0.033125,0.04865,0.042625,0.045075,0.02935,0.02605,0.041466667,0.03804881,0.35765,0.436,0.403175,0.3481,0.312125,0.2884,0.398941667,0.316208333,0.065425,0.08865,0.07595,0.077075,0.060025,0.050575,0.076675,0.062558333,73
2013,2,-85.06681132,41.09099018,68,23.9,17,0,0,12.9,73.7,106.8,87.3,17.6,66.5,80.1,49.5,43.9,148.5,79.6,16.22,9.88,5.81,2.11,1.37,4.7,14.68,23.95,5.35,-1.25,-1.15,-6.8,-6.8,-3.69,2.8,11.22,23.2,15.9,59.6,59.6,59.6,59.6,59.6,28.4,293.585,296.435,299.25,297.28,299.42,297.22,296.4233334,297.087619,282.455,289.1,294.175,292.79,293.46,289.255,297.22,291.2078572,0.0638,0.044375,0.048075,0.055325,0.05925,0.042325,0.052083333,0.05217619,0.252875,0.3786,0.4381,0.4083,0.3927,0.299525,0.356525,0.366841667,0.117775,0.0801,0.0766,0.081675,0.073375,0.07915,0.091491667,0.078066667,74.2
2014,2,-85.06681132,41.09099018,62.9,37.8,0,0,0,2.8,94,114,105.2,46.3,79.6,62.8,70.5,45.7,94.2,107.5,18.09,7.78,1.49,-3.13,-2.56,4.6,16.48,22.79,5.95,-0.91,-6.16,-13.28,-12.23,-6.54,3.39,10.07,47.5,53.6,53.6,53.6,53.6,59.6,59.6,47.8,290.375,292.245,298.99,298.615,299.03,296.68,293.87,295.6864286,281.005,289.74,294.74,291.85,294.305,288.33,296.68,290.95,0.0933,0.109675,0.0539,0.0358,0.030375,0.032625,0.085625,0.063042857,0.239975,0.41295,0.4037,0.455875,0.394025,0.30765,0.352208333,0.38585,0.158775,0.114875,0.070125,0.07415,0.067225,0.066425,0.114591667,0.069266667,92.3
2015,2,-85.06681132,41.09099018,62.9,25.5,6.4,0,0,27,84.6,111.1,70.9,62.5,46.5,46.8,33.3,48.3,87.4,111.7,16.89,6.27,3.76,-1.25,-4.25,6.84,16.66,24.01,5.67,-2.58,-2.55,-9.88,-14.57,-3.98,3.58,11.73,19.6,49,59.6,59.6,59.6,59.6,59.6,54.6,293.15,289.36,301.52,301.445,299.745,296.985,294.6766666,296.697381,283.845,287.57,293.435,295.625,292.755,289.57,296.985,291.3978572,0.078475,0.056675,0.061125,0.0918,0.024775,0.03895,0.065425,0.059603571,0.278675,0.42555,0.4077,0.4077,0.32455,0.2968,0.370641667,0.343016667,0.130075,0.0926,0.093,0.077675,0.05545,0.06975,0.105225,0.067625,58.7
2016,2,-85.06681132,41.09099018,54.6,48.4,26.2,0,2.4,48.2,83.8,102,53.9,56.2,101.3,33.9,52.3,113.3,86.7,81,18.08,13.1,8.82,1,4,11.7,15.3,21.9,6.27,2.07,1.37,-7.7,-5.4,1.4,3,9.6,11.7,16.7,59.6,59.6,59.6,59.6,58.1,33.1,293.565,296.4,300.21,300.06,299.205,299.67,296.725,297.9764286,284.51,287.385,294.4,295.04,294.83,291.565,299.67,292.4857142,0.0626,0.04355,0.033775,0.02295,0.212375,0.02045,0.046641667,0.063191667,0.256925,0.3897,0.3645,0.3726,0.452225,0.245875,0.337041667,0.3569,0.115275,0.068725,0.06145,0.046225,0.0977,0.04705,0.081816667,0.063658333,91.1
2017,2,-85.06681132,41.09099018,68.5,41.5,0,1.2,29.9,45.6,87.9,118,79.4,54,62.5,85.3,46.8,101,116.2,121,19.8,13.2,0.9,3.2,9,8.2,18.7,20.9,8.2,2.4,-5.6,-4,-1.9,-1.3,6.4,9.5,20,29.8,29.8,53.2,59.6,59.6,59.6,56.5,292.16,297.335,299.54,301.355,299.93,299.805,296.345,298.0671428,285.955,289.1,293.555,295.56,292.215,290.615,299.805,292.4007142,0.07495,0.0381,0.029775,0.02515,0.0276,0.058975,0.047608333,0.043165476,0.277875,0.3759,0.3716,0.36595,0.366875,0.30495,0.341791667,0.345925,0.138175,0.069225,0.06395,0.0566,0.0597,0.104075,0.09045,0.073458333,80.6
