Year,State,County,loc_ID,x,y,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_2_1,e_2_2,e_2_3,e_2_4,e_2_5,e_2_6,e_2_7,e_2_8,e_3_1,e_3_2,e_3_3,e_3_4,e_3_5,e_3_6,e_3_7,e_3_8,e_4_1,e_4_2,e_4_3,e_4_4,e_4_5,e_4_6,e_4_7,e_4_8,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,rs_1_1,rs_1_2,rs_1_3,rs_1_4,rs_1_5,rs_1_6,rs_2_1,rs_2_2,rs_2_3,rs_2_4,rs_2_5,rs_2_6,rs_3_1,rs_3_2,rs_3_3,rs_3_4,rs_3_5,rs_3_6,rs_4_1,rs_4_2,rs_4_3,rs_4_4,rs_4_5,rs_4_6,rs_5_1,rs_5_2,rs_5_3,rs_5_4,rs_5_5,rs_5_6,yield
2013,INDIANA,ADAMS,1,-84.93705398,40.74562106,68.3,29.9,16.1,0,0,13.4,76.3,103.9,84.8,19.9,77.5,81.4,48.1,54.8,151.2,76.3,16.04,9.83,5.93,2.17,1.33,4.79,15.41,23.57,5.39,-1.31,-0.9,-6.5,-6.82,-3.71,3.41,11.58,45.7,34.7,65.4,65.4,65.4,65.4,65.4,34,14612.75,14914.75,15111.75,15096.5,15059,14971.25,13845.75,14129.5,14561.25,14568.25,14585.25,14391.25,946.25,910,1060.75,394.25,387.25,824,2064.25,2284.25,2683.25,4563,4760.25,2830.25,1957.25,1845,2671.25,957.5,812,1502.75,65.5
2014,INDIANA,ADAMS,1,-84.93705398,40.74562106,62.1,39.1,0.9,0,0,6.4,92.4,113.1,115.4,46.2,90.4,62.7,73.8,52.1,117.5,103.4,17.87,7.83,2.14,-2.79,-2.37,5.49,16.54,22.78,6.12,-0.83,-5.56,-13,-11.8,-5.9,3.86,10.44,59.3,64.1,65.4,65.4,65.4,65.4,65.4,50.6,14859,15081.5,15026,14985.75,14987.5,14766.5,13758.75,14255.25,14531.25,14456.25,14514,14261.75,1305.5,1738.75,761.25,365.5,318.5,670.25,2258.5,3463,4155.25,4625.75,4297,1813,2892.5,4065.25,1787.75,534.5,692.25,1150.25,81.4
2015,INDIANA,ADAMS,1,-84.93705398,40.74562106,63.5,27.1,7,0,0,29.6,82.8,107.5,70.2,61.1,54.1,51.6,36.6,67.3,100.6,96.2,16.8,6.29,3.83,-0.92,-4.13,7.04,16.58,24.18,5.95,-2.57,-2.48,-9.44,-14.26,-3.66,4.16,12.08,18,44.7,65.4,65.4,65.4,65.4,65.4,49.3,14795.75,14840.5,15054.75,15027.75,15038.25,14975,13930,14039.25,14532.25,14690.5,14562.75,14306.25,1227.75,978.5,497,449.5,447,1458.75,2219.25,2204,3550.75,4638.25,4128.25,2971.75,2789.5,2384.25,1142.25,743.5,995.5,2250,52.4
2016,INDIANA,ADAMS,1,-84.93705398,40.74562106,61.4,48.4,25.4,0,2.2,49.8,87,98.2,59.7,59.8,108.9,33.4,62.1,119.9,95.1,74.3,18.18,13.06,9.03,1.1,3.9,12.2,15.7,21.6,6.43,2.31,1.46,-7.8,-5.5,2,3.5,9.7,14.1,22.5,65.4,65.4,65.4,65.4,65.4,37.7,14882.75,14928.75,15234.5,14973.5,14955.25,15008.5,13905.25,14229.75,14642.75,14701.5,14579,14473.5,1076.25,1215.25,830.5,366.5,357,1135.5,1943,2305,4123,5127,4377.5,2856,3089.25,3131.5,2061,817.75,688.25,1986.25,86.1
2017,INDIANA,ADAMS,1,-84.93705398,40.74562106,67.3,41.7,0,2,29.8,47.6,90,116.3,69.1,49.9,66.8,87.8,51.3,111.2,116.4,127.6,20,13.1,1.1,3.6,9.2,8.8,19.1,20.9,8.7,2.2,-5.6,-3.5,-1.8,-0.9,6.9,9.9,21.3,27,27,64.8,65.4,65.4,65.4,65.4,14475.25,14945.25,15187.5,15090.25,14898.25,15039.25,13861.5,14255,14560,14673.75,14446,14369.5,1337,1556.25,1517.5,366.25,355.25,852.5,2229,2863.5,3796,4664.25,4482.25,3008.25,2248.25,3931.25,3505.25,987.25,736,1423.25,74
2018,INDIANA,ADAMS,1,-84.93705398,40.74562106,64.1,38.5,0,0,3.2,36,73.2,113.6,86.9,119.1,37.6,42.5,122.9,77.6,103.8,107.5,19.1,9.8,1.6,-0.1,5.2,6.6,12.1,26.4,7.9,0.6,-6.7,-8.8,-4.6,-3,0.6,14,34.4,65.4,65.4,65.4,65.4,65.4,65.4,54.4,14589.75,15258.75,15312,15105.25,15063.25,15069.75,13770.75,14485.75,14617,14606.5,14649.5,14454.25,1264.75,1249,495.75,281.25,595.5,1229.25,2145.5,2653.75,4154.5,4256.5,4035.5,2367.75,2473.5,3161.5,1199.25,709.75,1009.75,2070,80.2
2019,INDIANA,ADAMS,1,-84.93705398,40.74562106,60,26.5,13.6,0,2.4,38.5,76.8,95.1,74.1,106.6,89.4,65.1,69,78.1,145.7,132.5,17.6,5.6,5.4,0.4,4.2,7.3,16.7,23.2,6.6,-0.8,-2.5,-8.2,-5.2,-3.3,4.4,10.5,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,14712.5,14657.25,15234.25,15224,14969.75,14942.75,13927.5,14378.5,14511.25,14671,14572.25,14472.25,1049.75,878.5,1535,1050,377.25,409.5,2568.5,2735.5,3005.75,3560.75,4489.5,4048.25,2219.25,1358.75,3151.5,2211.25,997.25,929.25,46.3
2020,INDIANA,ADAMS,1,-84.93705398,40.74562106,81.4,32.8,24.1,10.5,1.5,58.2,64,104,88.6,37.7,66.7,100.3,70.3,92.6,43.8,104.9,19.6,7.2,6.5,4.7,3.3,11.3,14.8,21.6,7,-2.2,-1.6,-3.6,-5.8,0.6,2.6,9.2,20.9,23.3,61.8,65.4,65.4,65.4,44.2,39.9,14632,14620,15328.75,15102.5,15043.75,14838,13888.5,14110.5,14579,14706.75,14528,14241,1119.75,1253.25,1299.75,246,293.5,1241.75,2125.25,2235.75,2927.5,4532,4572.5,3322,2407.5,2439.25,3690.5,718.25,650,1367.75,70.7
2021,INDIANA,ADAMS,1,-84.93705398,40.74562106,66.6,55.1,12.6,1,0,66.7,79.9,109.3,69.7,79.3,31.4,48.1,47.3,54.7,63.4,105.7,17.7,12.8,4.7,2.8,-2,12.3,16.7,21.5,5.3,3.2,-3.1,-5.5,-11.1,1.6,4.5,9.1,9.8,30,35.9,39.9,39.9,65.4,45.7,36.8,14714,14945.5,15223.5,15029.75,15009.75,14939,13930.5,13916.5,14607.25,14626.25,14640.75,14395.75,1388.25,1200,1294.75,382,288,1121.75,2618.75,2997,3260.25,3724.5,5428.25,4132.5,2545.5,2583.75,2198.25,1070.25,786,1303.25,87.5
2003,INDIANA,ALLEN,2,-85.06681132,41.09099018,43.3,31.8,1.1,0,0,37,78,91.4,44.1,59.1,50.3,26.6,38.7,53.9,61.9,165.1,15.39,7.58,2.14,-3.07,-0.9,8.87,15.99,19.81,4.51,-0.34,-5.2,-11.16,-9.85,-3.01,3.26,8.61,8.2,32.5,35.5,35.5,35.5,59.6,49.4,59.6,14748.75,14694.25,14945.75,14998.75,14959,14782,14158.5,14374.5,14571.5,14743.25,14665.75,14352,608.75,349.5,271,448.25,385.25,279,2468.5,4182,3506.25,3772.5,3601.5,2902.75,1116.75,739,649.5,786.25,650,601.5,78.6
2004,INDIANA,ALLEN,2,-85.06681132,41.09099018,61.2,33.9,4.1,0,0,38.2,59.7,105.8,56,77.9,67.9,55.6,14,67.5,21.4,147.1,17.04,11.49,3.28,-2.26,2.11,9.5,17.09,23.13,4.14,2.12,-3.51,-10.71,-7.44,0.47,4.14,11.03,51.6,59.6,59.6,59.6,59.6,59.6,21.9,55.8,14751,14909.75,14894,14933.5,14871.25,14865.75,14060,14557.25,14600,14695,14553.25,14422.5,734.5,317.25,315.25,277,230.5,315.25,2710.5,3998.25,3744.75,3861.25,3351.75,2810.75,1373.5,692,638.5,618.25,494,671.25,68.3
2005,INDIANA,ALLEN,2,-85.06681132,41.09099018,57.2,32.6,0.7,0,1.2,14.8,98.2,81.9,55.7,99.7,66.3,116,63.5,37,55.1,46.5,17.35,10.38,2.6,-0.19,3.13,5.73,17.33,20.32,5.51,1.74,-5.85,-8.39,-5.25,-4.41,4.13,7.24,16.9,59.6,59.6,59.6,59.6,59.6,59.6,21.9,14642.75,14786,15103,15070,15037.75,14949.5,14180.5,14373.25,14709.25,14713.25,14719.25,14576.75,704.25,330,353.25,382.5,272.5,333.5,2739.5,3851.5,3593.75,4304.25,3665.25,2917.5,1328.75,635,754.25,858.5,565.25,653.25,74.7
2006,INDIANA,ALLEN,2,-85.06681132,41.09099018,21.7,46.9,0,15.5,1.2,40.9,92.2,110.3,21.7,90.8,63.1,75.7,41.1,65.6,82.5,133.2,17.81,11.23,-0.85,5.73,2.87,8.09,18.1,20.98,6.38,0.41,-6.92,-1.68,-6.45,-1.91,4.65,9.33,7.2,46.5,46.5,59.6,59.6,59.6,49.7,59.6,14858,14755.25,15090.75,15052.5,15009,14819,14250.25,14435.25,14681,14715,14642.25,14386.75,664.5,357.5,366.25,216.5,257,238.25,3014.75,3918,3948.5,3773,3235,2927,1334,688.25,800,527.25,515,470.25,75.8
2007,INDIANA,ALLEN,2,-85.06681132,41.09099018,62.9,33.7,24.5,0.6,0,45.8,87.2,75.1,111,61.8,107.4,104.5,34.3,81.8,91.1,39.3,15.26,10.48,6.42,1.93,-3.76,11.28,14.45,24.98,3.68,1.3,-1.55,-5.37,-12.76,0.29,2.81,10.72,52.9,59.6,59.6,59.6,59.6,59.6,59.6,21.9,14711.75,14941.5,15026.75,15035.25,15181,15007.75,14241,14291.25,14623.5,14723.5,14801,14506.25,628.75,826.75,284.5,308,227,402.5,2832.5,3720.75,3909.5,3717.5,2980.25,2741,1190.25,1320.5,631,674.5,481.25,799.25,59.3
2008,INDIANA,ALLEN,2,-85.06681132,41.09099018,65.3,42.8,1.5,0,0,24.8,93.2,115,61.1,89.3,107.1,69.7,118.2,90.1,61.1,103.4,21.13,9.36,2.24,1.25,0.3,5.92,17.17,20.24,9.13,-0.16,-4.32,-7.95,-8.51,-3.05,4.04,7.65,18.3,59.6,59.6,59.6,59.6,59.6,59.6,42.8,14687.5,14775.25,15017.5,14915.75,14956.5,14821.25,14113.75,14297.75,14681.5,14721.5,14622.5,14411,679,448,441.5,612,241,285.25,2193,3857.5,4639.75,4111.75,3801,3291.5,1320.5,810,899,900.5,542.5,601,68.5
2009,INDIANA,ALLEN,2,-85.06681132,41.09099018,50.5,36.1,0,0,0.8,56.9,83.2,108.9,51.2,45.6,118.2,32.4,77,124.1,130,85.2,17.49,8.3,2.09,-3.58,3.31,10.91,15.46,22.12,4.22,-0.72,-7.06,-13.43,-6.81,-1.66,3.84,9.19,9.1,16.3,16.3,16.3,26.6,59.6,59.6,31.7,14650.25,14707.75,14959,14969.5,14941.25,14785.5,14108,14206.5,14723,14629.5,14616,14336.5,808.5,1476,585.25,305,278,605.75,2207,3972.75,3732.75,4556.75,3449.75,3105.75,1322.5,1231.25,960,806,599.75,789.25,70.5
2010,INDIANA,ALLEN,2,-85.06681132,41.09099018,60.5,34.9,1.1,0,0,51,96,115.5,127.2,31.2,74.5,22.9,36.2,64.1,75.3,158.8,14.78,12.1,1.66,-1.44,-0.21,11.24,19.72,23.13,4.49,2.24,-5.11,-8.43,-7.19,-0.28,6,11.62,59.6,54.4,58.7,58.7,58.7,59.6,36.7,59.6,14795.25,14689.25,15071.5,15083.75,15014,14890.75,14240.25,14510.75,14739.25,14839,14721.5,14447.75,526,723,253.75,298.5,263.75,278.25,2972.25,3756.25,3947.25,3735.5,3397,2865.75,927,1061.75,573,644,596,522,59.2
2011,INDIANA,ALLEN,2,-85.06681132,41.09099018,24.6,45,0,0,0,41.8,73.4,96.1,23.6,103.5,27.4,36.9,84.7,81.3,152.1,142.1,19.49,11.59,-0.88,-2.42,1.3,7.73,15.39,21.87,5.78,-0.7,-7.27,-10.07,-7.62,-2.2,4.22,11,9.7,59.6,59.6,59.6,59.6,59.6,59.6,59.6,14649,14833.75,15100.75,15115.5,14988.5,14760.75,14178.25,14433,14788.75,14884.75,14749,14390.25,510.25,403.5,324.25,426,292.5,495.25,2544.25,3666.25,3895.25,3723.75,3672.25,3215.75,951.5,706,646,741,629.5,873.5,69.2
2012,INDIANA,ALLEN,2,-85.06681132,41.09099018,73.5,46.7,19,1,8,65.9,81.8,56.5,80.3,137.2,94.7,67,41.5,76.4,51.4,49.4,18.08,12.28,5.23,3.05,4.8,15.52,16.64,25.68,5.43,2.73,-1.48,-5.71,-3.83,3.75,3.41,11.96,46.7,59.6,59.6,59.6,59.6,59.6,26.6,17,14654.25,14971.25,15082.75,15171.25,15157.5,14757.5,14304.25,14574.25,14652.75,14843,14675.5,14397.25,331.25,486.5,426.25,450.75,293.5,260.5,3576.5,4360,4031.75,3481,3121.25,2884,654.25,886.5,759.5,770.75,600.25,505.75,73
2013,INDIANA,ALLEN,2,-85.06681132,41.09099018,68,23.9,17,0,0,12.9,73.7,106.8,87.3,17.6,66.5,80.1,49.5,43.9,148.5,79.6,16.22,9.88,5.81,2.11,1.37,4.7,14.68,23.95,5.35,-1.25,-1.15,-6.8,-6.8,-3.69,2.8,11.22,23.2,15.9,59.6,59.6,59.6,59.6,59.6,28.4,14679.25,14821.75,14962.5,14864,14971,14861,14122.75,14455,14708.75,14639.5,14673,14462.75,638,443.75,480.75,553.25,592.5,423.25,2528.75,3786,4381,4083,3927,2995.25,1177.75,801,766,816.75,733.75,791.5,74.2
2014,INDIANA,ALLEN,2,-85.06681132,41.09099018,62.9,37.8,0,0,0,2.8,94,114,105.2,46.3,79.6,62.8,70.5,45.7,94.2,107.5,18.09,7.78,1.49,-3.13,-2.56,4.6,16.48,22.79,5.95,-0.91,-6.16,-13.28,-12.23,-6.54,3.39,10.07,47.5,53.6,53.6,53.6,53.6,59.6,59.6,47.8,14518.75,14612.25,14949.5,14930.75,14951.5,14834,14050.25,14487,14737,14592.5,14715.25,14416.5,933,1096.75,539,358,303.75,326.25,2399.75,4129.5,4037,4558.75,3940.25,3076.5,1587.75,1148.75,701.25,741.5,672.25,664.25,92.3
2015,INDIANA,ALLEN,2,-85.06681132,41.09099018,62.9,25.5,6.4,0,0,27,84.6,111.1,70.9,62.5,46.5,46.8,33.3,48.3,87.4,111.7,16.89,6.27,3.76,-1.25,-4.25,6.84,16.66,24.01,5.67,-2.58,-2.55,-9.88,-14.57,-3.98,3.58,11.73,19.6,49,59.6,59.6,59.6,59.6,59.6,54.6,14657.5,14468,15076,15072.25,14987.25,14849.25,14192.25,14378.5,14671.75,14781.25,14637.75,14478.5,784.75,566.75,611.25,918,247.75,389.5,2786.75,4255.5,4077,4077,3245.5,2968,1300.75,926,930,776.75,554.5,697.5,58.7
2016,INDIANA,ALLEN,2,-85.06681132,41.09099018,54.6,48.4,26.2,0,2.4,48.2,83.8,102,53.9,56.2,101.3,33.9,52.3,113.3,86.7,81,18.08,13.1,8.82,1,4,11.7,15.3,21.9,6.27,2.07,1.37,-7.7,-5.4,1.4,3,9.6,11.7,16.7,59.6,59.6,59.6,59.6,58.1,33.1,14678.25,14820,15010.5,15003,14960.25,14983.5,14225.5,14369.25,14720,14752,14741.5,14578.25,626,435.5,337.75,229.5,2123.75,204.5,2569.25,3897,3645,3726,4522.25,2458.75,1152.75,687.25,614.5,462.25,977,470.5,91.1
2017,INDIANA,ALLEN,2,-85.06681132,41.09099018,68.5,41.5,0,1.2,29.9,45.6,87.9,118,79.4,54,62.5,85.3,46.8,101,116.2,121,19.8,13.2,0.9,3.2,9,8.2,18.7,20.9,8.2,2.4,-5.6,-4,-1.9,-1.3,6.4,9.5,20,29.8,29.8,53.2,59.6,59.6,59.6,56.5,14608,14866.75,14977,15067.75,14996.5,14990.25,14297.75,14455,14677.75,14778,14610.75,14530.75,749.5,381,297.75,251.5,276,589.75,2778.75,3759,3716,3659.5,3668.75,3049.5,1381.75,692.25,639.5,566,597,1040.75,80.6
2018,INDIANA,ALLEN,2,-85.06681132,41.09099018,66.2,37.8,0,0,2.3,36.9,73.1,117.8,86.4,109.7,35.8,39.9,108.4,64.7,89.8,124.8,19.3,9.5,1,0,4.7,6.6,11.8,26,7.9,0.3,-7.1,-8.9,-5,-3,0.1,13.5,27.1,59.6,59.6,59.6,59.6,59.6,59.6,59.6,14652.25,14983,15040.5,15047.75,15017.5,14877.25,13982.75,14360.25,14785.25,14738.5,14715.75,14620,658,483.75,391.25,400.5,247.75,254,2006.5,3942.25,4472.5,4462,4074.25,2893.5,1353,852,820.25,867.25,628.25,530.75,81.2
2019,INDIANA,ALLEN,2,-85.06681132,41.09099018,59.2,25.7,10.8,0,1.7,36.9,76.7,92.9,86.5,93.3,83.2,56.2,54,78.9,133.1,148.8,17.4,5.4,5,0.1,3.9,7.1,16.4,22.8,6.2,-1,-2.7,-8.7,-5.7,-3.4,4,9.8,59,59.6,59.6,59.6,59.6,59.6,59.6,59.6,14636,14867.75,14936.75,15002.75,15011.5,15041,14111.75,14511.25,14631,14703.5,14674,14642.5,812.5,550.25,309.75,292.75,276.75,389.75,2572.5,3773.25,4141.25,3788.75,3591.75,2846.25,1376,958.25,689.5,668.75,657.5,787.75,55.9
2020,INDIANA,ALLEN,2,-85.06681132,41.09099018,76.3,30.2,22,7.8,1.6,56.2,66.2,106.2,93.9,32.6,66.9,103.1,53.8,86.7,49.8,107.3,19.1,6.9,6.1,4.5,3.5,10.8,14.7,21.6,6.4,-2.4,-1.8,-4,-5.8,0.1,2.3,8.9,24.7,24.7,59.6,59.6,59.6,59.6,42,37.8,14613,14637,15027.5,15062.25,14867.5,14788,14109.75,14244,14662.25,14769,14703,14421.75,617.25,774.75,496.25,245.5,314,373.5,2387.25,3601,3801.75,3940,4308.75,3034,1208.5,925.5,1014.5,608.75,776.75,606,80.5
2021,INDIANA,ALLEN,2,-85.06681132,41.09099018,52.9,54.1,12.2,1,0,64.9,78.1,101,54.3,70,35.1,46.4,40.8,54,56.6,89.7,17.5,12.7,4.6,2.8,-1.7,12,16.8,21.9,5.1,3.2,-3.1,-5.7,-11,1.3,4.4,9.2,8,20.4,28.1,31.7,31.7,59.6,35.3,19.5,14704.75,14718.25,14964.25,15012.25,14928.5,14929.25,14121.5,14040.25,14694.5,14699.25,14725.75,14523.25,649.25,771,225.75,339.75,399.5,480.25,2600.25,3829.75,3942,4488,4003,2915,1156.5,1085,584,691.5,703.75,816.5,99.7
2003,INDIANA,BARTHOLOMEW,3,-85.89822777,39.20600369,62.3,38.3,10.9,0,0,52.1,88.9,99.2,89.6,64.2,91.4,48.1,98.7,62.3,86.6,145.1,17.4,9.83,4.59,-0.86,1.09,12.68,18.23,21.44,6.38,0.34,-3.01,-9.27,-7.14,0.32,6.56,11.11,56.6,79.3,102.1,102.1,102.1,102.1,95.4,102.1,14758.25,14769.25,15094.5,15137,15051.5,14777.5,14039.5,14180,14517.75,14672,14566.25,14202.25,888.25,666,698.5,513.75,378,549.75,2468.5,2394.5,2837,3718.5,4136.75,2992.75,1703.75,968.75,1283,1077.25,861,1004.5,64.4
2004,INDIANA,BARTHOLOMEW,3,-85.89822777,39.20600369,72.4,43.4,21.1,0,5.5,53.1,88.1,114.9,74.1,131.8,63.8,134.5,26.8,79.6,80.9,183.9,18.9,14.11,5.59,1.32,4.99,12.57,18.19,24.84,5.68,3.5,-2.42,-7.7,-5.05,2.28,6.49,13.84,100.1,102.1,102.1,102.1,102.1,102.1,90.8,102.1,14709.5,15034.5,15064,15042,14938.5,14960.5,13948.5,14516.5,14525.25,14681.25,14408.75,14319.5,838.25,973.25,724.75,721.5,360.5,583.5,2380.25,2990.25,2963,4040,4295.75,2974.5,1591.75,1296.75,1306.5,1201.75,866.5,1072.75,63.9
2005,INDIANA,BARTHOLOMEW,3,-85.89822777,39.20600369,73.3,41.7,6.1,2.4,22.5,52.4,93.8,116.5,133.9,118,59,166.1,54.5,72,91.9,99.7,19.47,13.1,5.16,3.79,6.69,8.74,18.66,21.9,7.51,3.97,-4.44,-3.82,-2.75,-1.68,6.48,8.9,86.5,102.1,102.1,102.1,102.1,102.1,97.1,75.3,14737.5,14955,15298.5,15201.25,15133,15004.5,14072,14221.25,14601,14717.5,14606.5,14442,1003,894,1056,681.25,319.25,608.25,2493.5,3170,3639.5,4126.25,3945.5,3030.75,2115.5,1752.75,2351.25,1286.75,810.75,1130.25,69.2
